callerfilename,callermodule,caller,callee
./apps/matplotlib/lib/matplotlib/tri/_tricontour.py,matplotlib.tri._tricontour,__init__,super
./apps/matplotlib/galleries/examples/lines_bars_and_markers/stairs_demo.py,stairs_demo,draw_error_band,np.repeat
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,set_aspect,super
./apps/matplotlib/lib/matplotlib/tests/test_legend.py,matplotlib.tests.test_legend,test_legend_handle_label_mismatch_no_len,iter
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axes3d.py,matplotlib.mplot3d.axes3d,plot_surface,int
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_acorr,np.correlate
./apps/matplotlib/lib/matplotlib/tri/_trifinder.py,matplotlib.tri._trifinder,__init__,super
./apps/matplotlib/lib/matplotlib/font_manager.py,matplotlib.font_manager,set_stretch,int
./apps/matplotlib/lib/matplotlib/_api/__init__.py,matplotlib._api.__init__,kwarg_error,iter
./apps/matplotlib/lib/matplotlib/hatch.py,matplotlib.hatch,get_path,int
./apps/matplotlib/lib/matplotlib/backends/backend_webagg.py,matplotlib.backends.backend_webagg,open,int
./apps/matplotlib/lib/matplotlib/mlab.py,matplotlib.mlab,_spectral_helper,np.unwrap
./apps/matplotlib/galleries/users_explain/quick_start.py,quick_start,my_plotter,np.cumsum
./apps/matplotlib/galleries/examples/event_handling/trifinder_event_demo.py,trifinder_event_demo,update_polygon,np.column_stack
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,simple_linear_interpolation,np.column_stack
./apps/matplotlib/lib/matplotlib/tests/test_image.py,matplotlib.tests.test_image,test_imread_pil_uint16,np.sum
./apps/matplotlib/lib/matplotlib/backends/backend_macosx.py,matplotlib.backends.backend_macosx,draw_rubberband,int
./apps/matplotlib/lib/matplotlib/path.py,matplotlib.path,_update_values,np.all
./apps/matplotlib/lib/mpl_toolkits/axes_grid1/inset_locator.py,matplotlib.axes_grid1.inset_locator,__init__,super
./apps/matplotlib/lib/matplotlib/image.py,matplotlib.image,set_data,super
./apps/matplotlib/galleries/examples/statistics/histogram_normalization.py,histogram_normalization,get_correlated_dataset,np.hstack
./apps/matplotlib/lib/matplotlib/artist.py,matplotlib.artist,pprint_setters_rest,a.ljust
./apps/matplotlib/lib/matplotlib/_afm.py,matplotlib._afm,_parse_composites,line.split
./apps/matplotlib/galleries/examples/lines_bars_and_markers/timeline.py,timeline,colored_line_between_pts,int
./apps/matplotlib/galleries/users_explain/colors/colors.py,colors,inverse,enumerate
./apps/matplotlib/lib/mpl_toolkits/mplot3d/axis3d.py,matplotlib.mplot3d.axis3d,draw,sum
./apps/matplotlib/lib/matplotlib/table.py,matplotlib.table,__init__,super
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_markevery_linear_scales_zoomed,slice
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_markevery_log_scales,slice
./apps/matplotlib/lib/matplotlib/legend.py,matplotlib.legend,__init__,super
./apps/matplotlib/galleries/users_explain/axes/axes_scales.py,axes_scales,forward,np.log
./apps/matplotlib/galleries/examples/color/individual_colors_from_cmap.py,individual_colors_from_cmap,plot_color_gradients,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_tickdirs,enumerate
./apps/matplotlib/lib/matplotlib/tests/test_mlab.py,matplotlib.tests.test_mlab,test_psd_windowarray,np.ones
./apps/matplotlib/galleries/examples/event_handling/resample.py,resample,_downsample,np.sum
./apps/matplotlib/lib/matplotlib/collections.py,matplotlib.collections,convert_mesh_to_paths,np.stack
./apps/matplotlib/lib/matplotlib/tests/test_image.py,matplotlib.tests.test_image,test_downsampling,int
./apps/matplotlib/lib/matplotlib/rcsetup.py,matplotlib.rcsetup,validate_color,s.lower
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,test_scatter3d_sorting,np.repeat
./apps/matplotlib/lib/matplotlib/figure.py,matplotlib.figure,_do_layout,iter
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,_validate_steps,np.concatenate
./apps/matplotlib/lib/matplotlib/tests/test_mlab.py,matplotlib.tests.test_mlab,test_psd_window_hanning_detrend_linear,np.ones_like
./apps/matplotlib/lib/matplotlib/projections/polar.py,matplotlib.projections.polar,transform_non_affine,np.column_stack
./apps/matplotlib/lib/matplotlib/backends/backend_wx.py,matplotlib.backends.backend_wx,set_joinstyle,super
./apps/matplotlib/lib/matplotlib/patches.py,matplotlib.patches,_make_verts,np.concatenate
./apps/matplotlib/lib/matplotlib/cbook.py,matplotlib.cbook,_compute_conf_interval,np.isreal
./apps/matplotlib/galleries/examples/user_interfaces/mathtext_wx_sgskip.py,mathtext_wx_sgskip,__init__,super
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_markers_fillstyle_rcparams,enumerate
./apps/matplotlib/lib/matplotlib/text.py,matplotlib.text,_preprocess_math,s.replace
./apps/matplotlib/lib/matplotlib/tests/test_axes.py,matplotlib.tests.test_axes,test_auto_numticks_log,np.log10
./apps/matplotlib/tools/gh_api.py,matplotlib.tests.gh_api,get_auth_token,print
